1;fr;Comment appelle-t-on l'ensemble des sensations olfactives procurées par le vin ?;Le bouquet;Le nez;La robe;La texture;Débutant;Le terme « bouquet » est exclusivement réservé aux parfums issus du vieillissement en bouteille dits secondaires ou tertiaires.;https://fr.wikipedia.org/wiki/
2;fr;Par quel fleuve la région de Saint-Émilion et ses nombreux coteaux est-elle arrosée ?;La Dordogne;La Garonne;La Meuse;Le Rhin;Débutant;Site touristique de premier plan, Saint-Émilion possède une importante parure monumentale qui se décline au gré des ruelles.;https://fr.wikipedia.org/wiki/Saint-Émilion
3;fr;Quel pays d'Amérique latine au drapeau bleu et blanc possède le plus grand vignoble ?;L'Argentine;Le Chili;La Colombie;Le Pérou;Débutant;Les vignes en hautains, sur espaliers ou en gobelets furent les trois méthodes les plus utilisées en viticulture dès 1561.;https://fr.wikipedia.org/wiki/Viticulture_en_Argentine
4;fr;Qu'est en fait le phylloxéra, qui a ravagé presque tous les vignobles du monde ?;Puceron;Bactérie;Champignon;Plante;Débutant;En France, la maladie fut observée pour la première fois vers 1863 sur le plateau de Pujaut près Roquemaure, dans le Gard.;https://fr.wikipedia.org/wiki/Phylloxéra
5;fr;De quel cépage provient le chablis, vin blanc sec français d'appellation d'origine contrôlée ?;Du Chardonnay;Du sauvignon;Du pinot blanc;Du cabernet;Débutant;Il s'agit de la principale appellation en volume du vignoble de Chablis, avec le petit-chablis et le chablis grand cru.;https://fr.wikipedia.org/wiki/Chablis_(AOC)
6;fr;Quel verbe utilise-t-on lorsque l'on souhaite mettre un vin dans la glace pour le refroidir ?;Frapper;Couper;Tirer;Glacer;Débutant;Pour beaucoup, frappé a le sens de rafraîchir ce qui est une erreur car un vin est frappé lorsqu'il est frappé de glace.;https://fr.wikipedia.org/wiki/Glossaire_de_la_viticulture
7;fr;Pour les protéger de quels prédateurs plantait-on autrefois des roses à l'entrée des vignobles ?;Des pucerons;Des abeilles;Des fourmis;Des araignées;Débutant;Le Phylloxéra est un minuscule insecte piqueur inféodé à la vigne, apparenté aux pucerons.;https://fr.wikipedia.org/wiki/Phylloxéra
8;fr;Au Moyen Âge, qu'employait-on comme antiseptique pour panser les blessures ?;Du vin;Du miel;Du sucre;Du beurre;Débutant;Un centimètre cube de vin tue 99 % des bacilles typhiques et des microbes du choléra dans une quantité égale à la culture.;https://fr.wikipedia.org/wiki/
9;fr;Parmi ces Saints, lequel ne porte pas le nom d'un cru viticole ou d'un grand vignoble ?;St Raphaël;St Julien;St Amour;St Aubin;Débutant;Le Saint-Raphaël est un apéritif à base de mélange de mistelle rouge ou blanche et de plantes aromatiques.;https://fr.wikipedia.org/wiki/Saint-Raphaël_(apéritif)
10;fr;À quel dieu égyptien attribue-t-on le fait d'avoir planté la vigne sur les bords du Nil ?;Osiris;Thot;Amon;Râ;Débutant;Osiris, fils du Ciel et de la Terre, était surnommé « Le Maître de la Vigne en Fleurs ».;https://fr.wikipedia.org/wiki/Osiris
11;fr;Le Chénas est une appellation d'origine contrôlée de quelle grande région viticole ?;Du Beaujolais;Du Châlonnais;Du Jura;De Bourgogne;Confirmé;L'appellation est située à cheval sur les départements du Rhône et de Saône-et-Loire, au nord du vignoble du Beaujolais.;https://fr.wikipedia.org/wiki/Chénas_(AOC)
12;fr;Selon les écrits, quel peuple cultiva pour la première fois la vigne en France ?;Les Grecs;Les Romains;Les Burgondes;Les Gaulois;Confirmé;Les Grecs, aux alentours de Marseille. Les Romains l'ont ensuite propagé au cours de leurs conquêtes.;https://fr.wikipedia.org/wiki/Histoire_de_la_vigne_et_du_vin
13;fr;Comment désigne-t-on un vin qui peut se garder longtemps et qui demande à vieillir ?;Vin de garde;Échanson;Élixir;Graves;Confirmé;Les vins de garde ne doivent pas se boire trop jeunes et doivent subir une période de maturation de l'ordre de trois à cinq ans.;https://fr.wikipedia.org/wiki/Vin_de_garde
